shortcut	category	emojiCheatSheetFile	githubFile	unicodeChars	unicodeSampleFile	unicodeCldr	subcategory	aliasShortcuts	browserTypes
+1	custom	thumbsup.png	unicode/1f44d.png?v8	U+1F44D	 	 	github	thumbsup	 
-1	custom	thumbsdown.png	unicode/1f44e.png?v8	U+1F44E	 	 	github	thumbsdown	 
100	custom	100.png	unicode/1f4af.png?v8	U+1F4AF	 	 	github	 	 
1234	custom	1234.png	unicode/1f522.png?v8	U+1F522	 	 	github	 	 
1st_place_medal	custom	 	unicode/1f947.png?v8	U+1F947	 	 	github	 	 
2nd_place_medal	custom	 	unicode/1f948.png?v8	U+1F948	 	 	github	 	 
3rd_place_medal	custom	 	unicode/1f949.png?v8	U+1F949	 	 	github	 	 
8ball	custom	8ball.png	unicode/1f3b1.png?v8	U+1F3B1	 	 	github	 	 
a	custom	a.png	unicode/1f170.png?v8	U+1F170	 	 	github	 	 
ab	custom	ab.png	unicode/1f18e.png?v8	U+1F18E	 	 	github	 	 
abacus	custom	 	unicode/1f9ee.png?v8	U+1F9EE	 	 	github	 	 
abc	custom	abc.png	unicode/1f524.png?v8	U+1F524	 	 	github	 	 
abcd	custom	abcd.png	unicode/1f521.png?v8	U+1F521	 	 	github	 	 
accept	custom	accept.png	unicode/1f251.png?v8	U+1F251	 	 	github	 	 
accessibility	custom	 	accessibility.png?v8	 	 	 	github	 	 
accordion	custom	 	unicode/1fa97.png?v8	U+1FA97	 	 	github	 	 
adhesive_bandage	custom	 	unicode/1fa79.png?v8	U+1FA79	 	 	github	 	 
adult	custom	 	unicode/1f9d1.png?v8	U+1F9D1	 	 	github	 	 
aerial_tramway	custom	aerial_tramway.png	unicode/1f6a1.png?v8	U+1F6A1	 	 	github	 	 
afghanistan	custom	 	unicode/1f1e6-1f1eb.png?v8	U+1F1E6 U+1F1EB	 	 	github	 	 
airplane	custom	airplane.png	unicode/2708.png?v8	U+2708	 	 	github	 	 
aland_islands	custom	 	unicode/1f1e6-1f1fd.png?v8	U+1F1E6 U+1F1FD	 	 	github	 	 
alarm_clock	custom	alarm_clock.png	unicode/23f0.png?v8	U+23F0	 	 	github	 	 
albania	custom	 	unicode/1f1e6-1f1f1.png?v8	U+1F1E6 U+1F1F1	 	 	github	 	 
alembic	custom	 	unicode/2697.png?v8	U+2697	 	 	github	 	 
algeria	custom	 	unicode/1f1e9-1f1ff.png?v8	U+1F1E9 U+1F1FF	 	 	github	 	 
alien	custom	alien.png	unicode/1f47d.png?v8	U+1F47D	 	 	github	 	 
all_the_things	custom	all_the_things.png	 	 	 	 	emoji-cheatsheet	 	 
ambulance	custom	ambulance.png	unicode/1f691.png?v8	U+1F691	 	 	github	 	 
american_samoa	custom	 	unicode/1f1e6-1f1f8.png?v8	U+1F1E6 U+1F1F8	 	 	github	 	 
amphora	custom	 	unicode/1f3fa.png?v8	U+1F3FA	 	 	github	 	 
anatomical_heart	custom	 	unicode/1fac0.png?v8	U+1FAC0	 	 	github	 	 
anchor	custom	anchor.png	unicode/2693.png?v8	U+2693	 	 	github	 	 
andorra	custom	 	unicode/1f1e6-1f1e9.png?v8	U+1F1E6 U+1F1E9	 	 	github	 	 
angel	custom	angel.png	unicode/1f47c.png?v8	U+1F47C	 	 	github	 	 
anger	custom	anger.png	unicode/1f4a2.png?v8	U+1F4A2	 	 	github	 	 
angola	custom	 	unicode/1f1e6-1f1f4.png?v8	U+1F1E6 U+1F1F4	 	 	github	 	 
angry	custom	angry.png	unicode/1f620.png?v8	U+1F620	 	 	github	 	 
anguilla	custom	 	unicode/1f1e6-1f1ee.png?v8	U+1F1E6 U+1F1EE	 	 	github	 	 
anguished	custom	anguished.png	unicode/1f627.png?v8	U+1F627	 	 	github	 	 
ant	custom	ant.png	unicode/1f41c.png?v8	U+1F41C	 	 	github	 	 
antarctica	custom	 	unicode/1f1e6-1f1f6.png?v8	U+1F1E6 U+1F1F6	 	 	github	 	 
antigua_barbuda	custom	 	unicode/1f1e6-1f1ec.png?v8	U+1F1E6 U+1F1EC	 	 	github	 	 
apple	custom	apple.png	unicode/1f34e.png?v8	U+1F34E	 	 	github	 	 
aquarius	custom	aquarius.png	unicode/2652.png?v8	U+2652	 	 	github	 	 
argentina	custom	 	unicode/1f1e6-1f1f7.png?v8	U+1F1E6 U+1F1F7	 	 	github	 	 
aries	custom	aries.png	unicode/2648.png?v8	U+2648	 	 	github	 	 
armenia	custom	 	unicode/1f1e6-1f1f2.png?v8	U+1F1E6 U+1F1F2	 	 	github	 	 
arrow_backward	custom	arrow_backward.png	unicode/25c0.png?v8	U+25C0	 	 	github	 	 
arrow_double_down	custom	arrow_double_down.png	unicode/23ec.png?v8	U+23EC	 	 	github	 	 
